"location","source","target","id","developer_comments"
"01a_04600.bin.json:3","04600:003","第四章","04600:003","
第四章

第四章"
"01a_04600.bin.json:4","04600:004","秋日的一天是从参拜开始的。","04600:004","
秋日的一天是从参拜开始的。

一天的秋日是从参拜开始的。"
"01a_04600.bin.json:6","04600:006","去自家旁边一直守护着我的白羽神社参拜，为了赶上约定的时间，我在住宅区的小巷里急匆匆地走着。","04600:006","
去自家旁边一直守护着我的白羽神社参拜，为了赶上约定的时间，我在住宅区的小巷里急匆匆地走着。

我去了自己家旁边一直守护着我的白羽神社，为了赶上约定的时间，急忙在住宅区的小巷里赶去。"
"01a_04600.bin.json:7","04600:007","早晨从秋天开始逐渐变成初冬。突然大吐了一口气……即使不白，嘴里也被冷冰冰的空气运了过来。","04600:007","
早晨从秋天开始逐渐变成初冬。突然大吐了一口气……即使不白，嘴里也被冷冰冰的空气运了过来。

清晨似乎正从秋天逐渐向初冬转变。我用力吐了一口气……虽然还没变白，但嘴里已经有了凉爽的空气。"
"01a_04600.bin.json:8","04600:008","鼻子深处残留着一股有着傲骨的冷气。晚秋也要过去了。","04600:008","
鼻子深处残留着一股有着傲骨的冷气。晚秋也要过去了。

鼻子深处还残留着一股刺骨的寒气。晚秋也要过去了。"
"01a_04600.bin.json:9","04600:009","约定的时间，在大型书店前等待着童年好友。","04600:009","
约定的时间，在大型书店前等待着童年好友。

在约定的时间，童年好友在大型书店前等着。"
"01a_04600.bin.json:10","04600:010","我跑向挥手的她，用我喜欢的一如既往的笑容迎接她。被轻轻抱住，联想到好像抱着体温很高的小明和毛很深的狗。","04600:010","
我跑向挥手的她，用我喜欢的一如既往的笑容迎接她。被轻轻抱住，联想到好像抱着体温很高的小明和毛很深的狗。

我向挥手的她跑去，她用我喜欢的不变的笑容迎接我。我联想到她轻轻地抱着，体温很高的小明抱着一只毛发很深的狗。"
"01a_04600.bin.json:11","04600:011","两人踏着秋高气爽的脚步声走在商店街——去车站。","04600:011","
两人踏着秋高气爽的脚步声走在商店街——去车站。

两个人在秋天的天空中响起脚步声，走上商店街——去车站。"
"01a_04600.bin.json:12","04600:012","和往常同一时间乘坐的车厢里，有很多御幸森女子高中的学生。这个时间段几乎有三辆车都满了。","04600:012","
和往常同一时间乘坐的车厢里，有很多御幸森女子高中的学生。这个时间段几乎有三辆车都满了。

和往常一样乘坐的车辆运送了很多御幸森女子高中的学生。这个时间段几乎可以容纳三辆车。"
"01a_04600.bin.json:13","04600:013","令人讨厌的车辆过了三站左右，去了离学校最近的车站。","04600:013","
令人讨厌的车辆过了三站左右，去了离学校最近的车站。

拥挤的车厢过了三站，开往离学校最近的车站。"
"01a_04600.bin.json:14","04600:014","从有校名的车站下车，还是从同一个有校名的公交车站下车。","04600:014","
从有校名的车站下车，还是从同一个有校名的公交车站下车。

从有校名的车站下车，又从同样有校名的公交车站下车。"
"01a_04600.bin.json:16","04600:016","每次在大分叶上散开，我都会去发出沙沙作响的银杏树，一边斜着以前使用的旧校舍，一边急忙赶往校门。","04600:016","
每次在大分叶上散开，我都会去发出沙沙作响的银杏树，一边斜着以前使用的旧校舍，一边急忙赶往校门。

走过每走一步就发出沙沙声响的银杏林荫树，一边斜眼看着以前使用过的旧校舍，一边急匆匆地向校门走去。"
"01a_04600.bin.json:18","04600:018","然后，和往常一样，在途中和小明一起穿过开得很大的篱笆，穿过操场向校舍走去。","04600:018","
然后，和往常一样，在途中和小明一起穿过开得很大的篱笆，穿过操场向校舍走去。

然后，像往常一样，中途，和小明一起穿过大面积的篱笆，穿过运动场走向校舍。"
"01a_04600.bin.json:19","04600:019","直到到达校舍为止，我都会斜视一眼在那里的社团活动楼。那里也有茶道部的部室，胸口，有被抓住心脏的心情。","04600:019","
直到到达校舍为止，我都会斜视一眼在那里的社团活动楼。那里也有茶道部的部室，胸口，有被抓住心脏的心情。

走到校舍前，我瞟了一眼零星的社团大楼。那里还有茶道部的活动室，我感觉胸口、心脏都被抓住了。"
